ell,split_seed,model,accuracy,balanced_accuracy,roc_auc,auc_advantage,train_samples,test_samples
4,51,Random Forest,0.4946,0.49460000000000004,0.49295900000000004,0.007040999999999964,140000,30000
8,42,Logistic Regression,0.4989,0.4989,0.4996892977777778,0.00031070222222218113,140000,30000
8,42,Random Forest,0.5008,0.5008,0.502279688888889,0.0022796888888889644,140000,30000
8,43,Logistic Regression,0.5014666666666666,0.5014666666666666,0.4990236222222222,0.0009763777777778149,140000,30000
8,43,Random Forest,0.4962,0.4962,0.49837404444444444,0.0016259555555555583,140000,30000
8,44,Logistic Regression,0.5011,0.5011,0.5000663377777778,6.633777777775851e-05,140000,30000
8,44,Random Forest,0.504,0.504,0.5040702088888889,0.004070208888888871,140000,30000
8,45,Logistic Regression,0.49883333333333335,0.49883333333333335,0.49912178222222225,0.0008782177777777456,140000,30000
8,45,Random Forest,0.49746666666666667,0.49746666666666667,0.4986607377777778,0.0013392622222221928,140000,30000
8,46,Logistic Regression,0.49983333333333335,0.49983333333333335,0.49998207555555557,1.79244444444282e-05,140000,30000
8,46,Random Forest,0.5042666666666666,0.5042666666666666,0.5017746311111111,0.0017746311111110913,140000,30000
8,47,Logistic Regression,0.501,0.501,0.5000856622222222,8.566222222217146e-05,140000,30000
8,47,Random Forest,0.49673333333333336,0.49673333333333336,0.49725684,0.0027431600000000222,140000,30000
8,48,Logistic Regression,0.5013333333333333,0.5013333333333334,0.5016500088888889,0.0016500088888888875,140000,30000
8,48,Random Forest,0.4994,0.49939999999999996,0.5016357244444445,0.0016357244444444863,140000,30000
8,49,Logistic Regression,0.5001333333333333,0.5001333333333333,0.4981992444444444,0.0018007555555555887,140000,30000
8,49,Random Forest,0.5018333333333334,0.5018333333333334,0.4999547822222222,4.5217777777772916e-05,140000,30000
8,50,Logistic Regression,0.5010666666666667,0.5010666666666667,0.5004358577777778,0.00043585777777777057,140000,30000
8,50,Random Forest,0.5012,0.5012,0.502895151111111,0.0028951511111110495,140000,30000
8,51,Logistic Regression,0.5035,0.5035000000000001,0.5045183466666667,0.004518346666666728,140000,30000
8,51,Random Forest,0.4975333333333333,0.4975333333333333,0.4974380311111111,0.002561968888888877,140000,30000
